CODE_TYPE_EVENT;EVENT_NAME;ALERT_FLAG;CLOSE_FLAG;OPEN_FLAG;FAILURE_FLAG;REPAIR_FLAG;OTHER_FLAG;TEST_FLAG;INFO_SFLAG;WARNING_SFLAG;ERROR_SFLAG;REPAIR_SFLAG;CRIT_ERROR_SFLAG;DELETED
333;Отказ модуля расширения;0;0;0;1;0;0;0;0;0;0;0;0;
334;Отказ репитера;0;0;0;1;0;0;0;0;0;0;0;0;
335;Нет бумаги в локальном принтере;0;0;0;1;0;0;0;0;0;0;0;0;
336;Отказ локального принтера;0;0;0;1;0;0;0;0;0;0;0;0;
337;Отключение питания (DC) модуля расширения;0;0;0;0;0;1;0;0;0;0;0;0;
338;Разряд аккумулятора модуля расширения;0;0;0;1;0;0;0;0;0;0;0;0;
339;Сброс модуля расширения;0;0;0;0;0;1;0;0;0;0;0;0;
341;Взлом модуля расширения;0;0;0;1;0;0;0;0;0;0;0;0;
342;Отключение питания (AC) модуля расширения;0;0;0;0;0;1;0;0;0;0;0;0;
343;Ошибка самодиагностики модуля расширения;0;0;0;1;0;0;0;0;0;0;0;0;
344;Радиоприемник зафиксировал конфликт;0;0;0;1;0;0;0;0;0;0;0;0;
350;Нарушение связи с УОО;0;0;0;1;0;0;0;0;0;0;0;0;
351;Неисправность телефонной линии УОО;0;0;0;1;0;0;0;0;0;0;0;0;
353;Отказ передатчика LARS;0;0;0;1;0;0;0;0;0;0;0;0;
354;Нарушение связи с ПЦО;0;0;0;1;0;0;0;0;0;0;0;0;
355;Потерян контроль LARS;0;0;0;1;0;0;0;0;0;0;0;0;
356;Нет опроса от центральной станции;0;0;0;1;0;0;0;0;0;0;0;0;
357;Неисправность антенны LARS;1;0;0;1;0;0;0;0;0;0;0;0;0
370;Неисправность шлейфа;1;0;0;1;0;0;0;0;0;0;0;0;
371;Обрыв шлейфа;1;0;0;1;0;0;0;0;0;0;0;0;
372;Замыкание шлейфа;1;0;0;1;0;0;0;0;0;0;0;0;
373;Неисправность противопожарного шлейфа;0;0;0;1;0;0;0;0;0;0;0;0;
374;Неисправность выходной зоны;1;0;0;1;0;0;0;0;0;0;0;0;
375;Неисправность зоны экстренного вызова;1;0;0;1;0;0;0;0;0;0;0;0;
376;Неисправность охранной зоны;1;0;0;1;0;0;0;0;0;0;0;0;
377;Неисправность ударной зоны;1;0;0;1;0;0;0;0;0;0;0;0;
378;Неисправность пересекаемой зоны;1;0;0;1;0;0;0;0;0;0;0;0;
380;Неисправность извещателя;0;0;0;1;0;0;0;0;0;0;0;0;
381;Потерян контроль радиоизвещателя;0;0;0;1;0;0;0;0;0;0;0;0;
382;Отказ выносного извещателя;0;0;0;1;0;0;0;0;0;0;0;0;
383;Взлом извещателя;1;0;0;1;0;0;0;0;0;0;0;0;
384;Разряд батареи радиоизвещателя;0;0;0;1;0;0;0;0;0;0;0;0;
385;Высокая чувствительность детектора дыма;0;0;0;0;0;1;0;0;0;0;0;0;
386;Низкая чувствительность детектора дыма;0;0;0;0;0;1;0;0;0;0;0;0;
387;Высокая чувствительность датчика вторжения;0;0;0;0;0;1;0;0;0;0;0;0;
388;Низкая чувствительность датчика вторжения;0;0;0;0;0;1;0;0;0;0;0;0;
389;Ошибка самодиагностики извещателя;0;0;0;1;0;0;0;0;0;0;0;0;
392;УОО отключено;0;0;0;0;0;1;0;0;0;0;0;0;
393;Нарушение связи GPRS;0;0;0;1;0;0;0;0;0;0;0;0;
394;Нарушение связи Ethernet;0;0;0;1;0;0;0;0;0;0;0;0;
395;Разряд батареи брелока;0;0;0;1;0;0;0;0;0;0;0;0;
396;Отказ GSM связи УОО;0;0;0;1;0;0;0;0;0;0;0;0;
397;Неисправность сети связи УОО;0;0;0;1;0;0;0;0;0;0;0;0;
399;Отказ УОО;0;0;0;1;0;0;0;0;0;0;0;0;
400;Снят с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
401;Снят с охраны пользователем;0;0;1;0;0;0;0;0;0;0;0;0;
402;Групповое снятие с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
403;Автоматически снят с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
404;Не снят вовремя;0;0;0;0;0;1;0;0;0;0;0;0;0
405;Отложенное снятие с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
406;Отмена тревоги;0;0;0;0;0;1;0;0;0;0;0;0;0
407;Дистанционно снят с охраны;0;0;1;0;0;0;0;0;0;0;0;0;
408;Быстрое снятие;0;0;1;0;0;0;0;0;0;0;0;0;
409;Снятие с охраны ключем;0;0;1;0;0;0;0;0;0;0;0;0;0
411;Запрос обратного вызова;0;0;0;0;0;1;0;0;0;0;0;0;0
412;Успешный удаленный доступ;0;0;0;0;0;1;0;0;0;0;0;0;
413;Ошибка удаленного доступа;0;0;0;0;0;1;0;0;0;0;0;0;
414;Удаленная команда выключения системы;0;0;0;0;0;1;0;0;0;0;0;0;
415;Удаленная команда отключения вызывателя;0;0;0;0;0;1;0;0;0;0;0;0;
416;Успешная выгрузка;0;0;0;0;0;1;0;0;0;0;0;0;
421;Доступ отклонен;0;0;0;0;0;1;0;0;0;0;0;0;
422;Пользователь сообщил о доступе;0;0;0;0;0;1;0;0;0;0;0;0;
423;Принудительный доступ;0;0;0;0;0;1;0;0;0;0;0;0;
424;Выход отклонен;0;0;0;0;0;1;0;0;0;0;0;0;
425;Выход предоставлен;0;0;0;0;0;1;0;0;0;0;0;0;
426;Дверь заблокирована в открытом состоянии;1;0;0;0;0;0;0;0;0;0;0;0;0
427;Неисправность датчиeа состояния двери;0;0;0;1;0;0;0;0;0;0;0;0;0
428;Неисправность устройства Запрос на Выход;0;0;0;1;0;0;0;0;0;0;0;0;0
429;Начато программирование доступа;0;0;0;0;0;1;0;0;0;0;0;0;0
430;Завершено программирование доступа;0;0;0;0;0;1;0;0;0;0;0;0;0
431;Уровень доступа изменен;0;0;0;0;0;1;0;0;0;0;0;0;0
432;Реле доступа не сработало;0;0;0;1;0;0;0;0;0;0;0;0;0
433;Запрос на выход шунтирован;0;0;0;1;0;0;0;0;0;0;0;0;0
434;Датчик состояния двери шунтирован;0;0;0;1;0;0;0;0;0;0;0;0;0
441;Снят с охраны периметр;0;0;1;0;0;0;0;0;0;0;0;0;
442;Снят с охраны периметр (с клавиатуры);0;0;1;0;0;0;0;0;0;0;0;0;
450;Сбой при снятии с охраны;0;0;0;1;0;0;0;0;0;0;0;0;0
451;Раннее снятие с охраны;1;0;1;0;0;0;0;0;0;0;0;0;
452;Позднее снятие с охраны;1;0;1;0;0;0;0;0;0;0;0;0;
453;Не снят вовремя;0;0;0;0;0;1;0;0;0;0;0;0;0
454;Не взят вовремя;0;0;0;0;0;1;0;0;0;0;0;0;0
455;Ошибка при автоматическом взятии под охрану;0;0;0;1;0;0;0;0;0;0;0;0;
456;Снят с круглосуточной охраны;0;0;1;0;0;0;0;0;0;0;0;0;
457;Ошибка при выходе;0;0;0;0;0;1;0;0;0;0;0;0;
458;Пользователь в помещении;0;0;0;0;0;1;0;0;0;0;0;0;
459;Тревога после недавнего взятия;0;0;0;0;0;1;0;0;0;0;0;0;0
461;Введен неверный код (Снятие);1;0;0;0;0;0;0;0;0;0;0;0;
462;Введен верный код (Снятие);0;0;0;0;0;1;0;0;0;0;0;0;
463;Перевзятие после тревоги;0;1;0;0;0;0;0;0;0;0;0;0;
